,production_kg,superficie,taille_menage,age,nbre_heure_travail,lat,lng,culture_label_Arachide,culture_label_Bissap,culture_label_Mais,culture_label_Manioc,culture_label_Mil,culture_label_Niebe,culture_label_Pasteque,culture_label_Riz,culture_label_Sesame,culture_label_Sorgho
7267,480,1.0,8,49,50,14.6821999,-17.450951,1,0,0,0,0,0,0,0,0,0
3298,85,0.168506578,13,40,56,13.606067,-14.186516,0,0,0,0,1,0,0,0,0,0
6015,15000,2.650000095,9,73,48,16.0326307,-16.4818167,0,0,0,0,0,0,0,1,0,0
852,20,0.5,7,38,50,14.772693,-15.977585,0,0,0,0,0,1,0,0,0,0
6965,400,0.75,3,47,8,41.6991133,-86.2387627,1,0,0,0,0,0,0,0,0,0
0,1500,3.0,15,50,28,14.36715,-16.441645,1,0,0,0,0,0,0,0,0,0
613,400,1.0,5,38,49,14.433333,-15.816667,0,0,0,0,0,1,0,0,0,0
6038,50,1.0,10,50,35,45.2157229,-92.127079,0,0,0,0,1,0,0,0,0,0
291,200,5.0,7,41,49,15.713093,-15.94964,0,0,0,0,0,1,0,0,0,0
7671,75,0.25,7,32,50,45.5154553,-73.5623129,0,0,0,0,0,1,0,0,0,0
7754,500,1.0,12,43,48,14.095794,-15.8773988,0,0,0,0,1,0,0,0,0,0
1641,75,1.0,7,48,30,45.5125995,-73.56059549999999,0,0,0,0,0,1,0,0,0,0
6379,1600,4.0,16,38,48,14.497401,-14.452362,0,0,0,0,1,0,0,0,0,0
1733,5000,5.0,13,65,50,14.9052887,-15.8877171,1,0,0,0,0,0,0,0,0,0
2582,4500,3.0,13,57,49,14.3689284,-16.942111,1,0,0,0,0,0,0,0,0,0
6596,61,0.170000002,10,50,49,30.4132579,-91.1800023,0,0,0,0,0,0,0,1,0,0
6024,200,1.0,18,58,5,14.8665572,-15.8994956,0,0,0,0,1,0,0,0,0,0
7674,300,0.25,7,46,35,13.1440754,-14.1059408,0,0,1,0,0,0,0,0,0,0
4391,4200,6.5,13,58,48,14.85,-16.3667,1,0,0,0,0,0,0,0,0,0
5586,450,0.5,6,55,21,16.0884876,-16.3684552,0,0,1,0,0,0,0,0,0,0
3050,1400,2.0,5,35,52,13.7725888,-13.6710059,1,0,0,0,0,0,0,0,0,0
3855,500,1.0,8,76,48,14.5916821,-16.2520438,1,0,0,0,0,0,0,0,0,0
6926,80,0.400000006,8,65,36,15.58681,-16.073109,0,0,0,0,0,1,0,0,0,0
7517,550,3.160000086,12,42,45,13.849943,-13.742584,0,0,1,0,0,0,0,0,0,0
3029,200,1.649999976,9,62,48,12.454697,-16.638454,1,0,0,0,0,0,0,0,0,0
980,100,3.0,14,64,40,14.499522,-16.625093,0,0,0,0,1,0,0,0,0,0
7292,50,1.0,8,54,49,16.0084589,-16.165018,0,0,0,0,1,0,0,0,0,0
2681,300,0.59740001,14,44,70,14.192155,-12.228227,0,0,1,0,0,0,0,0,0,0
