villages,id_men,taille_menage,age,nbre_heure_travail
Diyabougou,700,14,50,60
Trao,701,10,47,35
Santhie Ngueth,702,17,47,56
Mbambilor,703,10,62,40
Labgar,704,22,50,42
Thiekene,705,7,67,48
Missirah,706,7,48,36
Balakonko,707,8,46,56
Gorom2,708,10,64,-99
Nyassia,709,11,73,-99
Médina  El Hadji  Cherif,710,22,65,13
Sare Mbana,711,9,43,62
Djivente,712,6,72,35
Diagnri,713,7,38,35
Sibidianto,714,6,75,35
Ndimb Birane,715,6,37,48
Yeral fall,716,6,70,49
Inna,717,17,69,0
Médina sy,718,9,65,42
Bourofaye bainouck,719,5,72,-99
Maka Sacoumba,720,11,42,56
Djibelor,721,7,45,35
Mbetinky,722,15,50,28
Missirah,723,7,51,54
Ndiette,724,6,65,48
Wardiakhal,725,7,42,25
Samba ndiaye,726,7,31,30
Mbambey,727,20,50,21
Mabo,728,14,37,56
SAME goumak,729,7,42,70
Ndame,730,22,60,84
Thioffior,731,8,44,49
Baïla ndour,732,12,38,49
Agnack grand,733,5,42,8
Doubirou,734,20,51,14
Mbissis dia seck,735,6,50,54
Sare sidi,736,20,34,84
Missirah mouride,737,13,65,48
Fongolibi,738,7,35,-99
Keurserignediebel,739,4,42,56
Khaye barka,740,8,38,12
Thilla Ouarkhokh,741,12,56,42
Sandiniery,742,9,32,30
Tabasseye Thiapa,743,10,66,70
Sanacounda,744,7,57,66
Nétéré Pakane,745,8,40,35
THIOLOME  NDIANDE,746,5,56,48
Ndiao Bambaly,747,6,67,-99
Né ma Dianfo,748,20,65,77
Agnack petit,749,15,58,8
Fouloum,750,10,48,56
Kheinde,751,10,65,14
SARE BITEYE,752,7,38,50
Kathiawane,753,12,31,49
Nabadji civol,754,5,50,30
BAL  DIOP,755,5,68,32
Médina gounass,756,8,64,30
Niahene,757,13,39,-99
Sinthiou  boubou,758,5,55,42
Kawel,759,13,59,28
Kameubeul,760,6,62,36
Médina degouye,761,5,25,56
Ghamoune,762,18,48,49
Daga Saer,763,12,45,49
Boulom,764,22,40,30
Touba ndiene,765,12,40,35
Belele,766,17,64,49
Bellekho extention,767,5,50,54
Diamagueune,768,8,40,54
Barkael,769,14,47,6
Dira pont,770,7,55,8
Madina bambaly,771,5,31,7
Thiarene,772,8,60,21
Mbene Diouma,773,10,38,46
Ouro sidy,774,9,53,6
Medina gowe,775,8,50,30
Xyz,776,5,63,45
Djikesse,777,12,62,56
Kamadou,778,26,84,-99
Velingara woulou,779,8,23,40
Bode,780,6,50,42
Tekiguel,781,8,59,49
Khayane,782,13,60,20
5,783,17,70,12
Bourofaye bainouck,784,13,60,-99
Y a Diana extention,785,7,40,54
Ede,786,5,50,52
Dator,787,7,58,42
Gueli,788,4,48,56
Faoye,789,13,54,30
Dimboli,790,3,65,25
Thisse kayemor,791,15,61,56
Djibelor,792,12,52,49
Thiamene walo,793,19,65,50
Fasse fero,794,4,34,49
Khodaba,795,12,81,-99
Bakou,796,7,41,50
Boudy sakho,797,6,72,49
Dioly mbandakhe,798,9,45,-99
Ting ting kom,799,10,51,50
Badioula,800,6,60,5
Keur Modou ndiamatou,801,13,49,49
Colobane,802,9,45,8
Thiaméne Walo,803,19,58,56
Gouyard 2,804,3,56,48
Sare Sama,805,7,60,60
Medina sy,806,1,58,6
2,807,9,54,30
Sorokhassap,808,13,47,70
Soumboundou,809,15,44,42
Diaguiry,810,15,58,42
Medina gowe,811,13,65,-99
Belle,812,14,47,35
Médina torobe,813,7,46,8
Diagongue,814,3,62,56
Thiaothiao,815,9,41,42
Makho,816,10,49,42
Kéracounda,817,6,65,6
Goundiourou,818,5,45,6
Baïty,819,11,51,0
Darsalam,820,6,71,48
St Double Sylla,821,11,60,28
Diamagueune,822,7,49,54
Sinthiou Wouro,823,9,45,42
Kathiote,824,4,58,8
Ndemenene,825,12,42,75
Veligara ourouby,826,7,77,49
Foumyharra Diobbe,827,14,56,10
Thionokh sangue,828,5,58,49
Thiathiaw kaba keur ndiawrigne,829,11,61,56
Thiélé  pathiéme,830,7,43,48
Kandialon,831,6,34,6
Beyti gueye,832,5,57,52
TAMBANABA,833,5,45,42
Nayobe gaye,834,9,67,42
Sinthiou garba,835,14,60,30
Gallade,836,7,75,0
Sine,837,5,36,12
Fass ndiayene,838,12,60,38
Gouye,839,10,55,63
Diankancounda,840,9,37,45
Padalal,841,11,46,5
Thiakho Madiale,842,15,75,35
Mandankhony,843,5,43,20
Niassya,844,2,53,49
Demizine,845,5,55,56
Saremamadou,846,24,70,42
Gaina Mbar,847,8,62,-99
SARE BITEYE,848,8,37,50
Kafoul,849,13,42,30
Senghalène,850,13,61,20
T'ouba mandingue,851,10,46,60
Médina sy,852,15,45,8
Ndiao Bambaly,853,19,61,50
Touba Linguere,854,6,60,56
Mlomp Djicomol,855,10,37,35
Pathieme,856,7,50,30
Kewre,857,21,66,42
Gap (keur dieumb dia),858,13,40,42
Sagharé,859,21,68,35
Thiélé pathiéme,860,5,30,48
Boulimanga manding,861,5,52,32
Velingara maure,862,1,78,1
Agniack,863,22,40,56
Sao Soucouta,864,7,40,50
Darou  gaye,865,8,60,35
Missirah diakhaly,866,17,62,50
Keur Aly gueye,867,16,52,35
Afia Thiabecare,868,6,40,42
Mabo   Keur   Babou    Seck,869,16,65,35
NdiebeneToube,870,7,62,40
Botou,871,13,53,77
Tambacoumba,872,11,75,45
Mousnakh ngath,873,16,47,-99
Seno Palel,874,12,62,5
Belal djiga,875,12,39,42
Toulde kahe,876,12,36,42
ngaba,877,10,42,40
THIENEL SAKHOBE,878,8,60,10
Nguerane goumack,879,6,45,56
Mangera,880,10,35,8
Kenewal,881,12,65,28
Malemeba,882,7,63,70
Nemabah,883,15,42,32
Vélin gara  nguenth,884,4,56,60
Cabrousse mossor,885,6,39,30
Linguel Dibane,886,15,46,30
Diout ngueul,887,8,72,42
Ndioum Ngainth,888,5,53,56
1,889,11,87,35
Ede,890,6,45,52
Wilanene,891,12,53,46
Agnack petit,892,8,70,-99
